start_node,end_node,length,osmid,oneway,lanes,name,highway,reversed,geometry,bridge,width,maxspeed,tunnel
8493177618,128560275,40.879999999999995,210670990,True,2,Rua de Antero de Quental,secondary,False,"LINESTRING (-8.6124484 41.1576751, -8.6125346 41.1575206, -8.6126514 41.1573409)",,,,
128560275,1422610110,19.646,14329124,True,2,Largo da Lapa,secondary,False,"LINESTRING (-8.6126514 41.1573409, -8.6126822 41.1572826, -8.6127422 41.157178)",,4,,
1422610110,474677934,66.61800000000001,14329124,True,2,Largo da Lapa,secondary,False,"LINESTRING (-8.6127422 41.157178, -8.6129259 41.1568847, -8.6130226 41.1567137, -8.6130465 41.1566745, -8.6130665 41.1566312)",,4,,
474677934,1788787115,126.236,34988345,True,2,Rua da Lapa,secondary,False,"LINESTRING (-8.6130665 41.1566312, -8.6131113 41.1564624, -8.6131371 41.1563265, -8.6132259 41.155824, -8.613285 41.1555082)",,,,
1788787115,1788787081,30.255,167487492,True,,Rua da Lapa,secondary,False,"LINESTRING (-8.613285 41.1555082, -8.6133237 41.1554512, -8.6133478 41.1554248, -8.613361 41.155414, -8.6133941 41.155387, -8.6134501 41.1553586, -8.613537 41.1553245)",,,,
1788787081,1788787223,356.717,1028861122,True,2,Rua da Boavista,secondary,False,"LINESTRING (-8.613537 41.1553245, -8.6162647 41.1557746, -8.6172602 41.1559409, -8.6174328 41.1559695, -8.6176976 41.1560159)",,10,,
1788787223,2250873416,19.502,1028861122,True,2,Rua da Boavista,secondary,False,"LINESTRING (-8.6176976 41.1560159, -8.6178759 41.1560477, -8.617925 41.1560535)",,10,,
2250873416,129953505,120.18199999999999,1267703679,True,2,Rua da Boavista,secondary,False,"LINESTRING (-8.617925 41.1560535, -8.6192099 41.1562699, -8.6193259 41.1562894)",,10,,
129953505,129953504,124.088,8367092,True,2,Rua da Boavista,secondary,False,"LINESTRING (-8.6193259 41.1562894, -8.6206724 41.1565165, -8.6207729 41.1565309)",,10,,
129953504,455341194,42.623,434872537,True,2,Rua da Boavista,secondary,False,,,10,,
455341194,1417675671,127.527,1190013241,True,2,Rua da Boavista,secondary,False,"LINESTRING (-8.6212708 41.1566109, -8.6226422 41.1568454, -8.622756 41.1568656)",,10,,
1417675671,1417675673,92.62299999999999,128245797,True,2,Rua da Boavista,secondary,False,"LINESTRING (-8.622756 41.1568656, -8.6237593 41.1570383, -8.6238345 41.1570513)",,10,,
1417675673,129953503,35.483,128244780,True,3,Avenida da Boavista,secondary,False,,,10,,
129953503,1110673414,54.402,35202691,True,1,Avenida da Boavista,secondary,False,"LINESTRING (-8.6242502 41.1571135, -8.6247875 41.1571604, -8.6248951 41.1571731)",,,,
