start_node,end_node,length,osmid,oneway,lanes,name,highway,reversed,geometry,bridge,maxspeed
128597080,411504967,48.057,1167578692,True,2,Largo da Igreja de Paranhos,secondary,False,"LINESTRING (-8.6058176 41.1736115, -8.6056268 41.1736407, -8.6052572 41.1737054)",,
411504967,2084090872,58.297,705505995,False,2,Rua Doutor Manuel Pereira da Silva,secondary,True,"LINESTRING (-8.6052572 41.1737054, -8.6048937 41.1736654, -8.6045648 41.1736749)",,
2084090872,412249442,66.615,705505995,False,2,Rua Doutor Manuel Pereira da Silva,secondary,True,,,
412249442,411504984,209.97400000000002,"[1208344474, 705505996, 1245335823]",False,2,Rua Doutor Manuel Pereira da Silva,secondary,True,"LINESTRING (-8.6037698 41.1737032, -8.6035805 41.1737092, -8.6034975 41.1737112, -8.6023474 41.1737514, -8.6021695 41.1737572, -8.6016198 41.1737743, -8.6015808 41.1737758, -8.6015419 41.1737773, -8.6015026 41.1737786, -8.6014639 41.1737802, -8.6013863 41.1737839, -8.6013471 41.1737862, -8.6013086 41.173789, -8.6012726 41.1737928, -8.6012643 41.1737938)",,
411504984,420777494,38.42999999999999,35078500,False,2,Rua Doutor Manuel Pereira da Silva,secondary,True,"LINESTRING (-8.6012643 41.1737938, -8.6011677 41.1738077, -8.6010496 41.1738346, -8.6009979 41.1738485, -8.6009155 41.1738773, -8.6008383 41.1739145)",,
420777494,411504977,124.48499999999999,"[1174863220, 35078500]",False,"['2', '3']",Rua Doutor Manuel Pereira da Silva,secondary,True,"LINESTRING (-8.6008383 41.1739145, -8.6007561 41.1739634, -8.6003397 41.174264, -8.5998871 41.1745908, -8.5997536 41.1746799)",,
411504977,9049275537,118.58300000000001,"[35145521, 1174863221]",False,3,Rua do Doutor Roberto Frias,secondary,False,"LINESTRING (-8.5997536 41.1746799, -8.5998329 41.1748119, -8.5999386 41.1750034, -8.6000191 41.1751417, -8.6000451 41.1751947, -8.6000901 41.1752896, -8.6001245 41.1753856, -8.6001652 41.1755369, -8.6001867 41.1756882)",,
9049275537,412248019,22.450000000000003,1028339896,False,2,Rua do Doutor Roberto Frias,secondary,False,"LINESTRING (-8.6001867 41.1756882, -8.6001887 41.1757993, -8.600181 41.1758899)",,
412248019,432578781,160.219,"[704870100, 1028339895]",False,3,Rua do Doutor Roberto Frias,secondary,False,"LINESTRING (-8.600181 41.1758899, -8.6001733 41.1760053, -8.6001511 41.1761223, -8.6000982 41.1762672, -8.6000095 41.1764594, -8.5997431 41.1769697, -8.5996828 41.1770887, -8.5995986 41.1772548)",,
432578781,4523960189,76.754,704870100,False,3,Rua do Doutor Roberto Frias,secondary,False,"LINESTRING (-8.5995986 41.1772548, -8.5993019 41.1778217, -8.5992641 41.1778975)",,
