start_node,end_node,length,osmid,oneway,lanes,name,highway,reversed,geometry,maxspeed,bridge,junction
416007716,416007717,32.501,35541709,False,,Largo do Campo Lindo,tertiary,False,,,,
416007717,416007718,6.438,35541709,False,,Largo do Campo Lindo,tertiary,False,,,,
416007718,1165604001,5.921,35541709,False,,Largo do Campo Lindo,tertiary,False,,,,
1165604001,316511864,22.343,35541709,False,,Largo do Campo Lindo,tertiary,False,,,,
316511864,343646689,14.304,212710696,False,2,Rua do Campo Lindo,tertiary,True,,,,
343646689,435468987,148.764,212710696,False,2,Rua do Campo Lindo,tertiary,True,,,,
435468987,316511863,112.283,212710696,False,2,Rua do Campo Lindo,tertiary,True,"LINESTRING (-8.6098197 41.1684728, -8.6102869 41.1681208, -8.6107657 41.1677569)",,,
316511863,2225284288,24.991999999999997,212710701,True,,Rua do Campo Lindo,tertiary,False,"LINESTRING (-8.6107657 41.1677569, -8.6108277 41.1677319, -8.6109101 41.1676824, -8.610952 41.1676419, -8.610975 41.1676046)",,,
2225284288,128560446,92.447,28785456,True,2,Rua do Campo Lindo,tertiary,False,"LINESTRING (-8.610975 41.1676046, -8.6116564 41.1670823, -8.6117522 41.167014)",,,
128560446,474793789,58.635999999999996,212710702,False,2,Rua do Vale Formoso,secondary,False,"LINESTRING (-8.6117522 41.167014, -8.6117195 41.1669283, -8.6115648 41.1665059)",,,
474793789,474794846,55.708,191987944,True,1,Rua de São Dinis,tertiary,False,"LINESTRING (-8.6115648 41.1665059, -8.6116372 41.1664937, -8.6121345 41.1664232, -8.6122183 41.1664113)",,,
474794846,4685392627,5.118,1016388206,False,2,Rua de São Dinis,tertiary,True,,,,
4685392627,474800358,77.54,1016388206,False,2,Rua de São Dinis,tertiary,True,"LINESTRING (-8.6122786 41.1664189, -8.6131061 41.1665877, -8.6131726 41.1666015)",,,
474800358,474793814,15.09,1016388206,False,2,Rua de São Dinis,tertiary,True,,,,
474793814,474691703,93.955,1016388206,False,2,Rua de São Dinis,tertiary,True,"LINESTRING (-8.6133447 41.1666419, -8.6136007 41.1667177, -8.6142362 41.1669827, -8.6143419 41.1670268)",,,
474691703,474690461,83.503,39598458,True,1,Rua Ribeiro de Sousa,residential,False,"LINESTRING (-8.6143419 41.1670268, -8.614354 41.1669719, -8.6145177 41.1662876)",,,
474690461,474691694,162.203,39598458,True,1,Rua Ribeiro de Sousa,residential,False,,,,
474691694,474691686,183.676,39598458,True,1,Rua Ribeiro de Sousa,residential,False,,,,
474691686,474546948,86.107,704509573,True,2,Rua da Constituição,secondary,False,"LINESTRING (-8.6152851 41.1632312, -8.6161933 41.1633406, -8.6163008 41.1633535)",,,
474546948,474694626,100.038,704509573,True,2,Rua da Constituição,secondary,False,"LINESTRING (-8.6163008 41.1633535, -8.6164243 41.1633701, -8.6174773 41.1635113)",,,
474694626,474695389,87.493,704509573,True,2,Rua da Constituição,secondary,False,,,,
474695389,475329142,81.556,704509573,True,2,Rua da Constituição,secondary,False,,,,
475329142,475328017,33.3,704509573,True,2,Rua da Constituição,secondary,False,,,,
475328017,474697403,31.924,704509573,True,2,Rua da Constituição,secondary,False,,,,
474697403,122452434,39.192,704509573,True,2,Rua da Constituição,secondary,False,"LINESTRING (-8.6202394 41.16385, -8.620518 41.1638833, -8.6207018 41.1639052)",,,
122452434,126600959,131.26999999999998,"[453762946, 453762947]",False,"['4', '3']",Rua de Serpa Pinto,tertiary,False,"LINESTRING (-8.6207018 41.1639052, -8.6207181 41.1637891, -8.6207882 41.1632888, -8.6208219 41.1630351, -8.6208599 41.1627307)",50,,
126600959,475044410,58.528,453762944,False,2,Rua de Serpa Pinto,tertiary,False,,50,,
475044410,138208872,97.96200000000002,453762944,False,2,Rua de Serpa Pinto,tertiary,False,"LINESTRING (-8.6209476 41.1622085, -8.6210226 41.1616539, -8.6210419 41.1615281, -8.6210441 41.1615126, -8.6210575 41.161417, -8.6210694 41.1613323)",50,,
138208872,474552495,24.751,1017147074,False,2,Rua de Serpa Pinto,tertiary,False,,50,,
474552495,474541483,46.476,1017147074,False,2,Rua de Serpa Pinto,tertiary,False,,50,,
474541483,12374109905,16.101,1017147074,False,2,Rua de Serpa Pinto,tertiary,False,,50,,
12374109905,4612052766,1.831,1017147074,False,2,Rua de Serpa Pinto,tertiary,False,,50,,
4612052766,1216466345,13.617,706644344,True,,Rua de Serpa Pinto,tertiary,False,"LINESTRING (-8.6211833 41.1605352, -8.6212551 41.1604939, -8.6213246 41.1604789)",50,,
1216466345,4703906251,42.73,724454821,True,,Largo da Ramada Alta,tertiary,False,"LINESTRING (-8.6213246 41.1604789, -8.6217192 41.1604608, -8.6217422 41.1604512, -8.6217673 41.16044, -8.6217799 41.1604303, -8.6217927 41.1604178, -8.6218024 41.1604041)",50,,
