start_node,end_node,length,osmid,oneway,lanes,name,highway,width,reversed,geometry,maxspeed,bridge,tunnel
478927788,297880533,206.31199999999998,167487385,False,2,Via Panorâmica,tertiary,,True,"LINESTRING (-8.6370336 41.1499125, -8.6369303 41.1499197, -8.6368175 41.1499208, -8.6367137 41.1499169, -8.6366135 41.1498978, -8.6354459 41.1495655, -8.6353128 41.1495452, -8.6351814 41.149548, -8.6350659 41.1495553, -8.6349565 41.1495719, -8.6348134 41.1496154, -8.6347485 41.1496428, -8.6346888 41.1496681)",30,,
479183608,4554424124,266.675,"[39911832, 1172312751]",False,3,Via Panorâmica,tertiary,,False,"LINESTRING (-8.6375345 41.1528317, -8.6375454 41.1527353, -8.6375494 41.1526991, -8.6375805 41.1523661, -8.6376117 41.1521188, -8.6376291 41.1520148, -8.637665 41.1517925, -8.6376893 41.1516416, -8.6376963 41.1516088, -8.6377678 41.151342, -8.637919 41.1508124, -8.6379372 41.1507059, -8.6379182 41.1505499, -8.6378645 41.1504683)",,,
1110673556,128674452,37.675,212706762,False,5,Rua de Júlio Dinis,secondary,,True,"LINESTRING (-8.626206 41.1526457, -8.6261331 41.152384, -8.6261136 41.1523141)",,,
1110673556,128673221,85.992,"[482296563, 200072875]",False,"['3', '4']",Praça da Galiza,secondary,,False,"LINESTRING (-8.626206 41.1526457, -8.6262541 41.1526317, -8.626292 41.1526208, -8.6264362 41.1525794, -8.6267246 41.1524928, -8.627035 41.1524076, -8.6271726 41.1523893)",,,
1110698273,1788787056,121.054,642609452,True,3,Praça da República,secondary,,False,"LINESTRING (-8.6120253 41.1538357, -8.6120261 41.1540321, -8.6120272 41.1542922, -8.6120238 41.1544215, -8.6120216 41.154573, -8.6120065 41.1548432, -8.6120047 41.1548761, -8.6120012 41.154924)",,,
1223751610,412248019,25.772,977982937,True,1,Rua Júlio Amaral de Carvalho,tertiary,,False,"LINESTRING (-8.6004711 41.1758223, -8.6003335 41.1758346, -8.6002572 41.1758645, -8.600181 41.1758899)",,,
1353874575,1418798461,143.02,"[13848688, 482276568]",True,2,Via Panorâmica,secondary,,False,"LINESTRING (-8.6331114 41.1512531, -8.632876 41.1514495, -8.6327115 41.1516768, -8.6324716 41.1524179)",,,
1418798461,1418798464,32.349999999999994,482264025,True,1,,secondary_link,,False,"LINESTRING (-8.6324716 41.1524179, -8.6324215 41.1524723, -8.6323934 41.1525296, -8.632357 41.1525724, -8.6323002 41.1525997, -8.6322194 41.1526121)",,,
1418798464,1788786316,72.9,128363661,True,1,Rua do Campo Alegre,secondary,,False,"LINESTRING (-8.6322194 41.1526121, -8.6315066 41.1525803, -8.6313575 41.1526165)",,,
1419645372,4612022469,29.485,1187730286,False,,Travessa da Carvalhosa,living_street,,True,,,,
