start_node,end_node,length,osmid,oneway,lanes,name,highway,reversed,geometry,bridge,maxspeed,junction
4455723336,5198412994,160.401,706918119,False,2,Rua Doutor António Bernardino de Almeida,secondary,False,"LINESTRING (-8.6076941 41.1771014, -8.6072952 41.1774766, -8.6070657 41.1777143, -8.6069943 41.1777853, -8.6066207 41.178157, -8.6065699 41.1782075, -8.6065315 41.1782479)",,50,
4455723345,3694392908,46.309,35475028,False,2,Rua da Natária,tertiary,False,,,,
4455723345,343646734,91.997,35475028,False,2,Rua da Natária,tertiary,True,"LINESTRING (-8.624203 41.1672949, -8.6234468 41.1674775, -8.6233534 41.1674997, -8.6232561 41.1675226, -8.6231535 41.1675394)",,,
4523960189,420776943,7.956,1267564167,False,3,Rua do Doutor Roberto Frias,secondary,False,,,,
4526688723,343646749,32.578,617765086,True,1,Rua de Monsanto,tertiary,False,,,,
4573598284,287458452,76.51500000000001,141476900,False,2,Rua Doutor António Bernardino de Almeida,secondary,False,"LINESTRING (-8.6082501 41.1760198, -8.6083072 41.1758362, -8.6084479 41.1754295, -8.6084741 41.1753527)",,50,
4573598284,4381093242,72.774,"[141476900, 536710725]",False,2,Rua Doutor António Bernardino de Almeida,secondary,True,"LINESTRING (-8.6082501 41.1760198, -8.6082411 41.1760442, -8.6080585 41.1765418, -8.6080338 41.1766115, -8.6080198 41.1766509)",,50,
4598508646,4598508648,23.384,868014850,False,2,Rua de Monsanto,tertiary,False,,,,
4598508646,2689537165,22.102,868014850,False,2,Rua de Monsanto,tertiary,True,"LINESTRING (-8.6213604 41.1700737, -8.6214728 41.1700002, -8.6215496 41.1699356)",,,
4598508648,4598508646,23.384,868014850,False,2,Rua de Monsanto,tertiary,True,,,,
4598508648,343646753,100.251,868014850,False,2,Rua de Monsanto,tertiary,False,"LINESTRING (-8.6211481 41.1702104, -8.6203696 41.1706439, -8.6203029 41.1706814, -8.6201887 41.17075)",,,
4888395226,343646741,168.619,"[30912892, 1209420439]",True,1,Rua de Monsanto,residential,False,"LINESTRING (-8.6218404 41.1692652, -8.621851 41.1692262, -8.6218603 41.1691921, -8.6218722 41.1691652, -8.6219358 41.1690033, -8.6220028 41.1688939, -8.6220721 41.1688128, -8.6221358 41.1687382, -8.6221973 41.1686673, -8.6222434 41.1685986, -8.6222746 41.1685327, -8.6222863 41.1684951, -8.6222981 41.1684552, -8.6223131 41.1683867, -8.6223157 41.1683182, -8.6223103 41.1679566, -8.6223014 41.1678284)",,,
5198412994,4455723336,160.401,706918119,False,2,Rua Doutor António Bernardino de Almeida,secondary,True,"LINESTRING (-8.6065315 41.1782479, -8.6065699 41.1782075, -8.6066207 41.178157, -8.6069943 41.1777853, -8.6070657 41.1777143, -8.6072952 41.1774766, -8.6076941 41.1771014)",,50,
5258500725,128566335,51.577,228569586,False,2,Rua de Monsanto,tertiary,True,"LINESTRING (-8.6133596 41.1718197, -8.6132224 41.1718248, -8.6128427 41.1718284, -8.6127436 41.1718292)",,,
5258500725,4526688723,225.546,"[868014851, 617765086]",True,1,Rua de Monsanto,tertiary,False,"LINESTRING (-8.6133596 41.1718197, -8.6134961 41.1718194, -8.6135546 41.1718192, -8.6136016 41.1718191, -8.615685 41.1718073, -8.6160542 41.1718059)",,,
5284452787,5284452803,9.099,1175977169,True,1,Rua de Pedro Hispano,secondary_link,False,,,,
5284452787,343646781,341.767,167487356,False,2,Rua de Pedro Hispano,secondary,True,"LINESTRING (-8.6413419 41.1603191, -8.6412911 41.160338, -8.6404953 41.1606595, -8.6391595 41.1611993, -8.6389461 41.1612893, -8.6389029 41.1613074, -8.6386757 41.1614015, -8.638474 41.1614858, -8.6378617 41.1617414, -8.637807 41.1617646, -8.6377548 41.1617864)",,,
5284452803,5284452808,29.273,546881517,True,2,Rua de Pedro Hispano,secondary_link,False,"LINESTRING (-8.6414385 41.1602816, -8.6414879 41.1601026, -8.6415 41.1600534, -8.6415073 41.1600235)",,,
5284452808,5284452939,12.042000000000002,978103353,True,,Rua de Pedro Hispano,secondary_link,False,"LINESTRING (-8.6415073 41.1600235, -8.6415124 41.1599809, -8.6415007 41.1599556, -8.6414663 41.1599268)",,,
5284452939,1264279362,71.502,1323840157,True,2,Avenida da Boavista,primary,False,"LINESTRING (-8.6414663 41.1599268, -8.6408012 41.1598166, -8.6406313 41.1597917)",,,
9401053197,4381093226,8.459,1019264548,True,2,,secondary,False,"LINESTRING (-8.6079369 41.1770267, -8.6079906 41.1770291, -8.6080362 41.1770197)",,,roundabout
10876563845,1216466439,83.009,212710704,True,2,Rua de Pedro Hispano,tertiary,False,"LINESTRING (-8.6267656 41.1665711, -8.6275152 41.1663468, -8.6276843 41.1662903)",,,
10913198202,343646747,12.588,741767470,False,2,Rua de Monsanto,tertiary,True,,,,
10913198202,416011692,27.999,741767470,False,2,Rua de Monsanto,tertiary,False,"LINESTRING (-8.6217067 41.1696096, -8.6216197 41.169816, -8.6216055 41.1698496)",,,
12148105774,343646772,101.134,"[13262770, 13262695]",True,3,Rua de Pedro Hispano,secondary,False,"LINESTRING (-8.6317726 41.1646119, -8.6319782 41.1645119, -8.6319958 41.1645033, -8.6320755 41.1644645, -8.6322544 41.1643775, -8.6324427 41.164267, -8.6325957 41.1641977, -8.6327818 41.1641134)",yes,,
